ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Hour,Weather_Condition_Encoded
A-106258,Source2,2,2016-05-05 16:06:56,2016-05-05 16:36:56,34.023918,-118.188309,,,0.01,Right lane blocked due to accident on Whittier Blvd at Townsend Ave.,S Townsend Ave,Los Angeles,Los Angeles,CA,90023-2418,US,US/Pacific,KCQT,2016-05-05 15:47:00,68.0,,47.0,29.88,10.0,Calm,,,Overcast,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16.0,21
A-113229,Source2,3,2016-06-08 17:10:55,2016-06-08 17:55:55,34.055695,-118.451965,,,0.0,Right hand shoulder blocked due to accident on I-405 Northbound after Exits 55B 55C Wilshire Blvd.,I-405 N,Los Angeles,Los Angeles,CA,90025,US,US/Pacific,KSMO,2016-06-08 16:51:00,68.0,,70.0,29.85,10.0,SW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,17.0,0
A-118692,Source2,3,2016-12-17 18:19:13,2016-12-17 19:04:00,28.508842,-81.4188,,,0.01,Left lane blocked due to accident on I-4 Eastbound at Exit 79 FL-423 John Young Pkwy.,S John Young Pkwy,Orlando,Orange,FL,32805,US,US/Eastern,KORL,2016-12-17 17:53:00,77.0,,58.0,30.12,10.0,SSE,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,18.0,0
A-139434,Source3,3,2016-08-29 16:21:41,2016-08-29 17:21:41,27.956661,-82.46093,,,0.0,2 left lane blocked and queueing traffic due to accident on I-275 Southbound at Exit 44 / US-41 Bus Tampa St / FL-685 Kay St.,I-275 S,Tampa,Hillsborough,FL,33602,US,US/Eastern,KTPF,2016-08-29 16:15:00,78.8,,100.0,29.91,5.0,ESE,3.5,0.08,Light Rain,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day,16.0,15
A-143964,Source2,2,2016-07-13 17:21:32,2016-07-13 18:06:32,27.974878000000004,-81.970978,,,0.0,Accident on Harden Blvd at Pipkin Rd.,W Pipkin Rd,Lakeland,Polk,FL,33813-2543,US,US/Eastern,KLAL,2016-07-13 17:33:00,93.2,,49.0,30.11,10.0,ENE,12.7,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,17.0,18
A-151255,Source2,2,2016-11-10 06:13:55,2016-11-10 06:43:40,33.579353000000005,-81.72144300000002,,,0.0,Accident on Glen Arbor Ct at Lincoln Ave.,Glen Arbor Ct,Aiken,Aiken,SC,29801,US,US/Eastern,KAIK,2016-11-10 06:15:00,35.6,,87.0,30.21,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,6.0,0
A-155986,Source2,2,2016-08-12 13:41:05,2016-08-12 14:26:05,33.968529,-84.361298,,,0.0,Accident on Morgan Falls Rd at GA-9 Roswell Rd.,Roswell Rd,Atlanta,Fulton,GA,30350-4859,US,US/Eastern,KPDK,2016-08-12 13:53:00,88.0,,53.0,29.96,10.0,Variable,6.9,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,13.0,18
A-173107,Source2,2,2016-09-20 13:38:58,2016-09-20 14:38:34,41.75071,-88.030571,,,0.0,Accident on Woodward Ave near 75th St.,75th St,Woodridge,DuPage,IL,60517,US,US/Central,KLOT,2016-09-20 13:35:00,82.6,,41.0,30.15,10.0,East,9.2,,Clear,False,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day,13.0,0
A-180088,Source2,2,2016-12-13 08:14:25,2016-12-13 08:43:58,42.847298,-85.624969,,,0.01,Left hand shoulder blocked due to accident on M-6 Paul B Henry Fwy Eastbound after Exit 11 Kalamazoo Ave.,Paul B Henry Fwy W,Grand Rapids,Kent,MI,49508,US,US/Eastern,KGRR,2016-12-13 07:53:00,23.0,13.9,88.0,30.04,4.0,SSW,8.1,0.0,Light Snow,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,8.0,17
A-191346,Source2,2,2016-08-29 04:34:22,2016-08-29 05:19:22,42.962429,-83.50621,,,0.0,Accident on M-15 State Rd both ways at Maple Ave.,S State Rd,Davison,Genesee,MI,48423-8602,US,US/Eastern,KFNT,2016-08-29 04:35:00,64.0,,90.0,30.25,0.2,Calm,,,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,4.0,7
A-201923,Source2,3,2017-01-26 08:34:37,2017-01-26 09:03:48,40.734882,-74.123688,,,0.01,Accident on I-95 Northbound after Exit 15E US-9 Pulaski Skwy.,Pulaski Skwy N,Newark,Essex,NJ,07105,US,US/Eastern,KEWR,2017-01-26 08:51:00,46.9,,77.0,29.45,7.0,Variable,4.6,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8.0,15
A-238147,Source2,3,2016-10-24 18:51:37,2016-10-24 19:21:11,39.120605,-78.191414,,,0.01,Right hand shoulder closed due to multi-vehicle accident on I-81 Southbound at Exit 310 VA-37.,Route 37 N,Winchester,Frederick,VA,22602,US,US/Eastern,KOKV,2016-10-24 18:55:00,55.4,,47.0,30.17,10.0,NNW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,18.0,0
A-240078,Source2,2,2016-11-04 10:58:58,2016-11-04 11:43:44,40.141232,-76.10733,,,0.01,Accident on US-322 Division Hwy at Fox Ln.,Division Hwy,Ephrata,Lancaster,PA,17522,US,US/Eastern,KLNS,2016-11-04 10:53:00,54.0,,62.0,30.21,10.0,North,13.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10.0,22
A-248043,Source2,2,2016-09-30 09:27:45,2016-09-30 10:12:23,40.049335,-75.110001,,,0.0,Accident on Tookany Creek Pkwy at Johns Rd.,Tookany Creek Pkwy,Cheltenham,Montgomery,PA,19012,US,US/Eastern,KPNE,2016-09-30 09:54:00,57.9,,93.0,30.26,10.0,NE,13.8,0.05,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9.0,15
A-266337,Source2,2,2016-12-22 23:53:26,2016-12-23 00:23:17,30.376398,-97.933861,,,0.0,Accident on Quanah Parker Trl at Running Deer Trl.,Running Deer Trl,Austin,Travis,TX,78734-3159,US,US/Central,KRYW,2016-12-22 23:55:00,53.1,,54.0,30.23,10.0,NE,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,23.0,18
A-279138,Source2,2,2016-11-14 17:07:41,2016-11-14 17:37:30,29.747232,-95.436134,,,0.01,Accident on San Felipe St at Timber Ln.,Timber Ln,Houston,Harris,TX,77027-4118,US,US/Central,KMCJ,2016-11-14 17:15:00,75.2,,53.0,29.99,10.0,SSW,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,17.0,0
A-279436,Source2,2,2016-11-15 10:25:11,2016-11-15 10:54:58,29.521751,-98.477753,,,0.0,Accident on Northern Blvd at International St.,Northern Blvd,San Antonio,Bexar,TX,78216,US,US/Central,KSAT,2016-11-15 10:51:00,78.1,,50.0,30.08,10.0,NW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10.0,0
A-300258,Source2,2,2016-09-10 14:59:14,2016-09-10 15:29:14,30.141001,-97.846649,,,0.0,Accident on Brodie Ln Westbound at FM-1626.,W FM 1626,Manchaca,Travis,TX,78652,US,US/Central,KAUS,2016-09-10 14:53:00,90.0,,45.0,30.03,10.0,North,13.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,14.0,22
A-314061,Source2,2,2016-07-29 10:20:38,2016-07-29 11:05:38,47.66317,-122.325089,,,0.0,Accident on Latona Ave at 47th St.,NE 47th St,Seattle,King,WA,98105,US,US/Pacific,KBFI,2016-07-29 09:53:00,75.0,,53.0,30.01,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10.0,0
A-325646,Source2,3,2017-02-06 08:48:00,2017-02-06 09:17:36,42.410671,-83.42395,,,0.01,Left hand shoulder blocked and left lane blocked due to accident on I-96 I-275 Westbound at Exit 170 6 Mile Rd.,I-96 E,Livonia,Wayne,MI,48152,US,US/Eastern,KVLL,2017-02-06 08:54:00,26.6,22.6,76.0,30.1,10.0,SSE,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8.0,0
A-326153,Source2,3,2017-01-27 08:49:26,2017-01-27 09:19:05,41.517941,-73.973724,,,0.01,Right hand shoulder blocked due to accident on I-84 Eastbound at Exit 11 NY-9D.,I-84 W,Beacon,Dutchess,NY,12508,US,US/Eastern,KSWF,2017-01-27 08:45:00,37.4,30.8,65.0,29.63,10.0,NW,9.2,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8.0,18
A-333000,Source2,2,2017-02-01 10:45:08,2017-02-01 11:14:50,29.729198,-95.280121,,,0.01,Accident on Navigation Blvd in Houston.,E Navigation Blvd,Houston,Harris,TX,77012-1066,US,US/Central,KHOU,2017-02-01 10:43:00,73.0,,71.0,30.05,10.0,SSW,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,10.0,18
A-333825,Source2,2,2017-02-04 13:49:02,2017-02-04 14:18:47,29.743061,-95.301491,,,0.01,Accident on Avenue K both ways at US-90 Alt Ssgt Macario Garcia Dr.,Ssgt Macario Garcia Dr,Houston,Harris,TX,77011-2509,US,US/Central,KMCJ,2017-02-04 13:55:00,57.2,,67.0,30.19,10.0,East,11.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13.0,21
A-340721,Source2,2,2017-03-17 18:31:05,2017-03-17 19:15:44,37.248611,-121.957642,,,0.01,Accident on Lark Ave at Highland Oaks Dr.,Lark Ave,Los Gatos,Santa Clara,CA,95032-2505,US,US/Pacific,KSJC,2017-03-17 18:53:00,69.1,,42.0,29.96,10.0,WNW,10.4,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,18.0,18
A-356018,Source2,3,2017-03-04 22:15:02,2017-03-04 22:59:42,26.839661,-80.10174599999998,,,0.01,Two lanes blocked due to accident on I-95 Northbound after Exits 79 79A 79B FL-786 PGA Blvd.,I-95 N,Palm Beach Gardens,Palm Beach,FL,33410,US,US/Eastern,KPBI,2017-03-04 21:53:00,70.0,,44.0,30.36,10.0,ENE,17.3,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,22.0,25
A-364199,Source2,3,2017-03-02 18:13:34,2017-03-02 18:43:09,41.595619,-93.621567,,,0.23,Left hand shoulder blocked due to accident on I-235 Eastbound between 6th Ave and Exit 8A School St.,3rd St,Des Moines,Polk,IA,50309,US,US/Central,KDSM,2017-03-02 17:54:00,30.9,22.2,61.0,30.5,10.0,NNW,10.4,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,18.0,18
A-382293,Source2,3,2017-03-17 15:18:52,2017-03-17 15:48:18,38.886051,-77.222115,,,0.01,Right hand shoulder closed due to accident on I-66 Westbound after Exits 64 64A 64B I-495 Capital Beltway.,Capital Beltway S,Dunn Loring,Fairfax County,VA,22027,US,US/Eastern,KDCA,2017-03-17 15:12:00,51.1,,26.0,30.29,10.0,West,8.1,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15.0,18
A-397901,Source2,2,2017-04-12 02:06:56,2017-04-12 02:51:30,37.38965200000001,-122.163582,,,0.01,Right hand shoulder blocked due to accident on I-280 Northbound at Exit 20 County Hwy-G3 Page Mill Rd.,I-280 S,Los Altos,Santa Clara,CA,94022,US,US/Pacific,KNUQ,2017-04-12 01:56:00,57.9,,87.0,30.01,10.0,SSE,9.2,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2.0,21
A-398834,Source2,2,2017-04-17 14:01:05,2017-04-17 14:32:00,38.56583,-121.33638,,,0.01,Accident on US-50 Eastbound at Exit 13 Bradshaw Rd.,US-50 E,Sacramento,Sacramento,CA,95827,US,US/Pacific,KMHR,2017-04-17 13:45:00,60.8,,88.0,30.04,10.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14.0,18
A-400504,Source2,3,2017-04-29 12:52:16,2017-04-29 13:21:56,37.740906,-122.196472,,,0.01,Right hand shoulder blocked due to accident on I-880 Northbound at Exit 36 Hegenberger Rd.,I-880 N,Oakland,Alameda,CA,94621,US,US/Pacific,KOAK,2017-04-29 12:53:00,78.1,,24.0,30.12,10.0,West,16.1,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12.0,0
A-411296,Source2,2,2017-04-17 10:29:43,2017-04-17 11:14:10,26.636257,-81.750557,,,0.01,Accident on Buckingham Rd at Alvin Ave.,Buckingham Rd,Fort Myers,Lee,FL,33905-6106,US,US/Eastern,KFMY,2017-04-17 10:53:00,81.0,,58.0,30.14,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10.0,0
A-412576,Source2,2,2017-05-01 06:48:21,2017-05-01 07:17:30,25.898684,-80.32437900000002,,,0.01,Lane blocked on exit ramp due to accident on FL-826 Palmetto Expy Northbound at I-75.,Palmetto Expy S,Hialeah,Miami-Dade,FL,33016,US,US/Eastern,KOPF,2017-05-01 06:53:00,75.9,,82.0,30.06,10.0,SE,12.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,6.0,22
A-426392,Source2,2,2017-04-21 07:43:53,2017-04-21 08:13:16,40.45395300000001,-79.912537,,,0.81,Restrictions due to accident on PA-8 Penn Ave both ways between Frankstown Ave and 5th Ave.,Penn Ave,Pittsburgh,Allegheny,PA,15208-2322,US,US/Eastern,KAGC,2017-04-21 07:53:00,64.0,,84.0,29.86,10.0,SW,11.5,,Mostly Cloudy,False,False,True,True,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,7.0,18
A-453292,Source2,2,2017-05-24 10:23:41,2017-05-24 11:08:20,32.705704,-96.917961,,,0.0199999995529651,Accident on TX-303 Kiest Blvd at Dan Morton Dr.,Dan Morton Dr,Dallas,Dallas,TX,75236,US,US/Central,KRBD,2017-05-24 09:53:00,66.9,,51.0,29.85,10.0,NW,12.7,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10.0,0
A-478354,Source2,3,2017-06-29 09:08:43,2017-06-29 09:37:56,41.02586,-73.73178100000001,,,1.9099999666213991,Accident on I-287 Cross Westchester Expy Eastbound between Exit 9S-N Hutchinson River Pkwy and Exit 9A I-684.,Cross Westchester Expy W,West Harrison,Westchester,NY,10604,US,US/Eastern,KHPN,2017-06-29 08:56:00,73.0,,61.0,30.13,10.0,Variable,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,9.0,0
A-480287,Source2,2,2017-06-05 16:15:35,2017-06-05 16:45:23,40.171345,-75.347374,,,0.0199999995529651,Accident on Potshop Rd at Township Line Rd.,Potshop Rd,Norristown,Montgomery,PA,19403-4630,US,US/Eastern,KLOM,2017-06-05 16:15:00,69.8,,83.0,29.73,10.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16.0,18
A-487275,Source2,2,2017-06-19 14:10:27,2017-06-19 14:54:59,32.801247,-96.782127,,,0.0,Accident on Peak St at Ross Ave.,Ross Ave,Dallas,Dallas,TX,75204-5065,US,US/Central,KDAL,2017-06-19 13:53:00,84.9,,65.0,29.95,10.0,WSW,6.9,,Mostly Cloudy,False,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day,14.0,18
A-494293,Source3,3,2017-07-10 15:12:30,2017-07-10 15:57:08,34.436089,-118.59381100000002,,,0.0,Right lane blocked due to accident on I-5 Northbound near Exit 171 The Old Rd.,I-5 N,Valencia,Los Angeles,CA,91355,US,US/Pacific,K3A6,2017-07-10 14:51:00,95.0,95.0,24.0,29.03,10.0,SSE,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15.0,5
A-509045,Source2,2,2017-07-14 15:34:39,2017-07-14 16:04:10,29.809132,-95.440079,,,0.0,Accident on North Loop Westbound at T.C. Jester Blvd.,I-610 E,Houston,Harris,TX,77092,US,US/Central,KMCJ,2017-07-14 15:35:00,95.0,,41.0,30.03,10.0,ENE,3.5,,Mostly Cloudy,False,False,False,True,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,15.0,18
A-512428,Source2,1,2022-09-08 17:33:01,2022-09-08 18:18:04,35.240639,-80.897087,,,0.0,Lane blocked due to crash on Ashley Rd at Lindbergh St.,Ashley Rd,Charlotte,Mecklenburg,NC,28208-3703,US,US/Eastern,KCLT,2022-09-08 17:52:00,79.0,79.0,62.0,29.04,10.0,ENE,14.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,17.0,18
A-540063,Source2,1,2022-08-11 08:04:20,2022-08-11 08:34:01,36.074459,-86.638573,,,0.0,Crash on US-41 Murfreesboro Rd at Rural Hill Rd.,Rural Hill Rd,Antioch,Davidson,TN,37013,US,US/Central,KBNA,2022-08-11 07:53:00,75.0,75.0,84.0,29.46,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8.0,18
A-549836,Source2,1,2022-08-01 06:06:12,2022-08-01 06:35:49,33.451401000000004,-112.073822,,,0.0,Crash on Central Ave at Van Buren St.,E Van Buren St,Phoenix,Maricopa,AZ,85004-2299,US,US/Mountain,KPHX,2022-08-01 05:51:00,86.0,86.0,53.0,28.77,10.0,S,10.0,0.0,Mostly Cloudy,True,False,True,False,False,False,True,False,False,False,False,True,False,Day,Day,Day,Day,6.0,18
A-553020,Source2,1,2022-07-28 05:10:36,2022-07-28 06:10:26,32.248161,-110.849823,,,0.0,Crash on Tanque Verde Rd at Kolb Rd .,E Grant Rd,Tucson,Pima,AZ,85715,US,US/Mountain,KDMA,2022-07-28 04:58:00,75.0,75.0,72.0,27.14,10.0,SE,8.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day,5.0,22
A-554460,Source3,1,2022-07-27 06:58:45,2022-07-27 07:28:19,35.763908,-78.714088,,,0.0,Crash on Avent Ferry Rd at Glencastle Way.,Glencastle Way,Raleigh,Wake,NC,27606-4704,US,US/Eastern,KRDU,2022-07-27 06:51:00,76.0,76.0,97.0,29.61,10.0,SW,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,6.0,18
A-556452,Source2,2,2022-07-25 07:26:42,2022-07-25 07:56:23,47.557961,-122.672577,,,0.0,Left lane blocked due to crash on WA-3 Southbound at Loxie Eagans Blvd.,W Loxie Eagans Blvd,Bremerton,Kitsap,WA,98312,US,US/Pacific,KPWT,2022-07-25 06:56:00,63.0,63.0,81.0,29.49,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7.0,5
A-565576,Source2,1,2022-07-15 07:37:55,2022-07-15 08:07:34,39.72451,-105.025192,,,0.0,Crash on 5th Ave at CO-88 Federal Blvd.,Federal Blvd,Denver,Denver,CO,80204-4744,US,US/Mountain,KBJC,2022-07-15 07:45:00,77.0,77.0,36.0,24.63,10.0,NNW,7.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,7.0,22
A-570862,Source2,2,2022-07-09 16:45:53,2022-07-09 17:15:34,30.3909,-86.456017,,,0.0,Lane blocked due to crash on Commons Dr at Two Circle Rd.,Two Circle Rd,Destin,Okaloosa,FL,32541,US,US/Central,KDTS,2022-07-09 16:53:00,90.0,90.0,65.0,29.98,10.0,VAR,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,16.0,5
A-594827,Source2,1,2022-06-13 13:46:17,2022-06-13 14:16:06,35.067840999999994,-120.594193,,,0.0,Lane blocked due to crash on Fowler Ln at CA-1.,Fowler Ln,Arroyo Grande,San Luis Obispo,CA,93420-9644,US,US/Pacific,KSBP,2022-06-13 13:56:00,71.0,71.0,44.0,29.71,10.0,NNW,28.0,0.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13.0,6
A-596360,Source2,2,2022-06-11 06:20:29,2022-06-11 07:05:01,45.525871,-122.565605,,,0.0,Crash on I-84 Westbound at Exit 6 I-205 Exits 20 21A 21B.,E Portland Fwy S,Portland,Multnomah,OR,97220,US,US/Pacific,KPDX,2022-06-11 06:23:00,60.0,60.0,93.0,29.91,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,6.0,1
A-609647,Source2,3,2022-05-26 18:44:14,2022-05-26 19:13:27,39.973385,-83.01218399999998,,,0.0,Right lane blocked due to crash on I-670 Eastbound after Neil Ave.,I-670 E,Columbus,Franklin,OH,43215,US,US/Eastern,KCMH,2022-05-26 18:51:00,64.0,64.0,100.0,29.01,3.0,W,5.0,0.46,Heavy Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,18.0,9
